Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
  13.14     761.00    5.486e-04    1.148e-05     68.12     0.09
  13.20     757.51    6.766e-04    1.327e-05     68.76     0.09
  13.26     754.06    7.402e-04    1.735e-05     68.90     0.10
  13.32     750.63    8.722e-04    1.659e-05     69.37     0.08
  13.38     747.24    9.941e-04    1.962e-05     69.70     0.09
  13.44     743.88    1.049e-03    2.201e-05     69.69     0.10
  13.50     740.55    1.122e-03    2.167e-05     69.75     0.09
  13.56     737.25    1.275e-03    2.357e-05     70.08     0.09
  13.62     733.97    2.198e-03    4.993e-05     72.44     0.11
  13.69     730.73    4.983e-03    1.618e-04     76.49     0.18
  13.75     727.51    4.435e-03    1.917e-04     75.58     0.24
  13.81     724.33    1.449e-03    4.237e-05     69.69     0.14
  13.87     721.17    9.206e-04    1.871e-05     67.40     0.09
  13.93     718.03    9.864e-04    1.940e-05     67.47     0.09
  13.99     714.93    1.030e-03    1.948e-05     67.42     0.08
  14.05     711.85    1.001e-03    2.121e-05     67.06     0.09
 
 Short-Low2 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   5.13    1950.64    8.565e-07    3.184e-07    110.67     1.69
   5.16    1939.20    4.786e-06    1.354e-06    118.12     1.45
   5.19    1927.90    2.603e-06    3.501e-07    114.56     0.64
   5.22    1916.72    3.319e-06    1.818e-07    115.13     0.26
   5.25    1905.67    3.559e-06    1.442e-07    114.89     0.20
   5.28    1894.75    3.798e-06    3.219e-07    114.62     0.41
   5.31    1883.96    2.217e-06    1.333e-06    111.53     3.13
   5.34    1873.29    3.323e-06    2.879e-07    112.85     0.41
   5.37    1862.73    3.422e-06    2.400e-07    112.44     0.33
