Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   11  19.28     518.79    1.806e-03    3.842e-05     54.35     0.08
   11  19.29     518.39    1.871e-03    4.309e-05     54.46     0.09
   11  19.31     517.99    1.800e-03    3.884e-05     54.28     0.09

 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   12  16.36     611.15    3.748e-04    9.313e-06     55.66     0.09
   12  16.38     610.68    3.839e-04    1.257e-05     55.71     0.12
   12  16.39     610.21    3.969e-04    1.120e-05     55.80     0.10
   12  16.40     609.74    4.008e-04    9.778e-06     55.80     0.09
   12  16.44     608.34    4.061e-04    1.047e-05     55.74     0.09
   12  16.45     607.87    4.141e-04    1.090e-05     55.77     0.09
   12  16.46     607.40    4.253e-04    1.596e-05     55.83     0.13
   12  16.48     606.94    4.332e-04    1.073e-05     55.87     0.09
   12  16.49     606.47    4.392e-04    9.710e-06     55.88     0.08
   12  16.53     605.07    4.285e-04    1.361e-05     55.69     0.11
   12  16.54     604.61    4.334e-04    1.546e-05     55.69     0.13
   12  16.55     604.14    4.345e-04    8.757e-06     55.67     0.07
   12  16.57     603.67    4.420e-04    9.211e-06     55.69     0.07
   12  16.60     602.28    4.534e-04    1.042e-05     55.68     0.08
   12  16.62     601.82    4.555e-04    9.985e-06     55.66     0.08
   12  16.63     601.36    4.550e-04    9.821e-06     55.63     0.08
   12  16.64     600.90    4.602e-04    9.477e-06     55.63     0.07
   12  16.65     600.43    4.543e-04    1.115e-05     55.55     0.09
   12  16.67     599.97    4.649e-04    1.088e-05     55.60     0.08
   12  16.68     599.51    4.667e-04    1.304e-05     55.58     0.10
   12  16.69     599.05    4.655e-04    1.335e-05     55.53     0.10
   12  16.71     598.59    4.789e-04    1.345e-05     55.60     0.10
   12  16.72     598.13    4.745e-04    1.690e-05     55.53     0.13
   12  16.73     597.67    4.713e-04    1.655e-05     55.48     0.13
   12  16.74     597.21    4.781e-04    1.436e-05     55.49     0.11
   12  16.76     596.75    4.847e-04    1.391e-05     55.51     0.10
   12  16.77     596.29    4.955e-04    1.350e-05     55.55     0.10
   12  16.78     595.83    4.979e-04    1.440e-05     55.53     0.10
   12  16.80     595.38    4.964e-04    1.410e-05     55.49     0.10
   12  16.81     594.92    5.001e-04    1.399e-05     55.48     0.10
   12  16.82     594.46    4.971e-04    1.230e-05     55.43     0.09
   12  16.83     594.00    5.102e-04    1.151e-05     55.49     0.08
   12  16.85     593.55    5.277e-04    1.179e-05     55.57     0.08
   12  16.86     593.09    5.195e-04    1.291e-05     55.48     0.09
   12  16.87     592.64    5.139e-04    1.294e-05     55.41     0.09
   12  16.89     592.18    5.174e-04    1.203e-05     55.40     0.08
   12  16.90     591.72    5.206e-04    1.288e-05     55.39     0.09
   12  16.91     591.27    5.277e-04    1.212e-05     55.40     0.08
   12  16.93     590.81    5.353e-04    1.310e-05     55.42     0.09
   12  16.94     590.36    5.402e-04    1.532e-05     55.42     0.10
   12  16.95     589.90    5.499e-04    1.462e-05     55.45     0.10
   12  16.96     589.45    5.519e-04    1.206e-05     55.43     0.08
   12  16.98     589.00    5.460e-04    1.325e-05     55.35     0.09
   12  16.99     588.54    5.504e-04    1.493e-05     55.35     0.10
   12  17.00     588.09    6.012e-04    1.497e-05     55.63     0.09
   12  17.02     587.64    8.378e-04    2.901e-05     56.84     0.13
   12  17.03     587.19    2.273e-03    5.679e-05     60.89     0.11
   12  17.04     586.74    2.415e-03    1.020e-04     61.12     0.19
   12  17.06     586.29    1.022e-03    8.117e-05     57.50     0.31
   12  17.07     585.83    6.032e-04    1.118e-05     55.48     0.07
   12  17.08     585.38    5.911e-04    1.437e-05     55.37     0.09
   12  17.10     584.94    6.122e-04    1.345e-05     55.46     0.08
   12  17.11     584.48    6.350e-04    1.478e-05     55.56     0.09
   12  17.12     584.03    6.357e-04    1.353e-05     55.53     0.08
   12  17.14     583.59    6.319e-04    1.375e-05     55.47     0.08
   12  17.15     583.14    6.260e-04    1.337e-05     55.41     0.08
   12  17.19     581.79    6.239e-04    1.412e-05     55.29     0.08
   12  17.20     581.34    6.364e-04    1.202e-05     55.33     0.07
   12  17.21     580.90    6.417e-04    1.127e-05     55.33     0.06
   12  17.23     580.45    6.410e-04    1.185e-05     55.29     0.07
   12  17.24     580.01    6.425e-04    1.301e-05     55.26     0.07
   12  17.28     578.67    6.492e-04    1.211e-05     55.20     0.07
   12  17.29     578.22    6.547e-04    1.309e-05     55.19     0.07
   12  17.31     577.78    6.553e-04    1.292e-05     55.16     0.07
   12  17.32     577.33    6.490e-04    1.214e-05     55.09     0.07
   12  17.33     576.89    6.539e-04    1.319e-05     55.09     0.07
   12  17.35     576.45    6.761e-04    1.523e-05     55.18     0.08
   12  17.36     576.00    6.830e-04    1.422e-05     55.18     0.08
   12  17.37     575.56    6.770e-04    1.323e-05     55.11     0.07
   12  17.39     575.12    6.760e-04    1.181e-05     55.07     0.06
   12  17.40     574.68    6.830e-04    1.354e-05     55.08     0.07
   12  17.41     574.23    6.872e-04    1.334e-05     55.07     0.07
   12  17.43     573.79    6.924e-04    1.391e-05     55.06     0.07
   12  17.44     573.35    7.059e-04    1.306e-05     55.10     0.07
   12  17.45     572.91    7.103e-04    1.667e-05     55.09     0.09
   12  17.47     572.47    7.031e-04    1.698e-05     55.02     0.09
   12  17.48     572.03    7.087e-04    1.411e-05     55.01     0.07
   12  17.50     571.59    7.160e-04    1.331e-05     55.01     0.07
   12  17.51     571.15    7.265e-04    1.689e-05     55.03     0.09
   12  17.52     570.71    7.425e-04    1.648e-05     55.08     0.08
   12  17.54     570.27    7.417e-04    1.555e-05     55.04     0.08
   12  17.58     568.96    7.273e-04    1.462e-05     54.87     0.07
   12  17.59     568.52    7.243e-04    1.221e-05     54.82     0.06
   12  17.60     568.09    7.753e-04    1.798e-05     55.04     0.09
   12  17.62     567.65    7.439e-04    1.240e-05     54.85     0.06
   12  17.63     567.21    7.522e-04    1.509e-05     54.86     0.07
   12  17.64     566.78    7.593e-04    1.583e-05     54.86     0.08
   12  17.66     566.34    7.472e-04    1.750e-05     54.77     0.09
   12  17.67     565.90    7.659e-04    1.742e-05     54.82     0.08
   12  17.68     565.47    7.788e-04    1.415e-05     54.85     0.07
   12  17.70     565.03    7.801e-04    1.415e-05     54.82     0.07
   12  17.71     564.60    7.705e-04    1.691e-05     54.75     0.08
   12  17.73     564.16    7.791e-04    1.651e-05     54.75     0.08
   12  17.74     563.73    7.922e-04    1.665e-05     54.78     0.08
   12  17.75     563.30    7.980e-04    1.434e-05     54.77     0.07
   12  17.77     562.86    7.959e-04    1.603e-05     54.73     0.07
   12  17.78     562.43    8.148e-04    2.006e-05     54.78     0.09
   12  17.79     562.00    8.028e-04    1.508e-05     54.70     0.07
   12  17.81     561.57    8.004e-04    1.934e-05     54.65     0.09
   12  17.82     561.14    8.249e-04    2.253e-05     54.73     0.10
   12  17.83     560.71    8.099e-04    2.067e-05     54.63     0.09

 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   13  15.19     658.50    1.397e-04    5.827e-06     55.71     0.14
   13  15.20     657.99    1.428e-04    5.908e-06     55.74     0.14
   13  15.21     657.48    1.486e-04    7.129e-06     55.84     0.16
   13  15.22     656.98    1.423e-04    4.812e-06     55.66     0.11
   13  15.23     656.47    1.484e-04    5.335e-06     55.76     0.12
   13  15.24     655.97    1.526e-04    5.583e-06     55.82     0.12
   13  15.26     655.47    1.582e-04    6.465e-06     55.90     0.14
   13  15.27     654.96    1.545e-04    4.372e-06     55.79     0.09
   13  15.30     653.45    1.604e-04    4.168e-06     55.81     0.09
   13  15.32     652.95    1.640e-04    4.717e-06     55.85     0.10
   13  15.33     652.45    1.600e-04    5.328e-06     55.73     0.11
   13  15.34     651.95    1.611e-04    5.020e-06     55.72     0.10
   13  15.36     650.94    1.673e-04    4.776e-06     55.77     0.09
   13  15.37     650.44    1.712e-04    5.725e-06     55.81     0.11
   13  15.39     649.94    1.687e-04    4.961e-06     55.73     0.10
   13  15.40     649.44    1.693e-04    4.989e-06     55.71     0.10
   13  15.41     648.94    1.723e-04    5.007e-06     55.73     0.10
   13  15.42     648.45    1.757e-04    4.846e-06     55.76     0.09
   13  15.43     647.95    1.740e-04    5.494e-06     55.69     0.11
   13  15.45     647.45    1.790e-04    6.425e-06     55.75     0.12
   13  15.46     646.95    1.828e-04    5.538e-06     55.79     0.10
   13  15.47     646.45    1.831e-04    4.658e-06     55.76     0.09
   13  15.48     645.95    1.851e-04    4.995e-06     55.76     0.09
   13  15.49     645.46    1.861e-04    5.235e-06     55.74     0.09
   13  15.50     644.96    1.908e-04    5.049e-06     55.79     0.09
   13  15.52     644.47    1.972e-04    5.549e-06     55.86     0.09
   13  15.53     643.97    1.962e-04    5.992e-06     55.81     0.10
   13  15.55     642.98    2.027e-04    4.055e-06     55.85     0.07
   13  15.56     642.49    2.046e-04    4.346e-06     55.85     0.07
   13  15.58     641.99    2.090e-04    5.981e-06     55.88     0.10
   13  15.59     641.50    2.069e-04    6.945e-06     55.82     0.11
   13  15.60     641.01    2.104e-04    6.722e-06     55.84     0.11
   13  15.61     640.51    2.177e-04    6.223e-06     55.92     0.10
   13  15.62     640.02    2.363e-04    5.582e-06     56.16     0.08
   13  15.64     639.53    2.294e-04    6.257e-06     56.03     0.09
   13  15.65     639.03    2.262e-04    7.231e-06     55.94     0.11
   13  15.66     638.54    2.258e-04    7.164e-06     55.90     0.11
   13  15.67     638.05    2.248e-04    6.531e-06     55.85     0.10
   13  15.68     637.56    2.265e-04    6.662e-06     55.84     0.10
   13  15.70     637.07    2.310e-04    8.207e-06     55.87     0.12
   13  15.71     636.58    2.395e-04    8.328e-06     55.96     0.12
   13  15.72     636.09    2.461e-04    8.493e-06     56.02     0.12
   13  15.73     635.60    2.563e-04    9.395e-06     56.12     0.13
   13  15.75     635.11    2.744e-04    1.220e-05     56.32     0.15
   13  15.76     634.63    3.038e-04    9.054e-06     56.64     0.10
   13  15.77     634.14    3.293e-04    8.037e-06     56.89     0.09
   13  15.81     632.68    3.600e-04    1.153e-05     57.10     0.11
   13  15.82     632.19    3.299e-04    8.453e-06     56.76     0.09
   13  15.83     631.70    3.247e-04    7.637e-06     56.67     0.08
   13  15.84     631.22    3.230e-04    8.327e-06     56.61     0.09
   13  15.85     630.73    3.097e-04    8.181e-06     56.43     0.09
   13  15.87     630.25    2.960e-04    8.252e-06     56.23     0.10
   13  15.88     629.76    2.947e-04    7.797e-06     56.18     0.09
   13  15.89     629.28    2.969e-04    6.571e-06     56.18     0.08
   13  15.90     628.80    3.157e-04    8.730e-06     56.35     0.10
   13  15.92     628.31    4.204e-04    1.232e-05     57.34     0.11
   13  15.93     627.83    4.998e-04    1.919e-05     57.94     0.14
   13  15.94     627.34    3.777e-04    1.284e-05     56.88     0.12
   13  15.95     626.86    3.042e-04    8.513e-06     56.08     0.10
   13  15.96     626.38    2.988e-04    7.078e-06     55.99     0.08
   13  15.98     625.90    2.993e-04    7.153e-06     55.96     0.08
   13  15.99     625.42    3.096e-04    8.103e-06     56.04     0.09
   13  16.00     624.94    3.149e-04    8.513e-06     56.06     0.09
   13  16.01     624.46    3.263e-04    9.349e-06     56.15     0.10
   13  16.03     623.98    3.160e-04    8.491e-06     56.01     0.09
   13  16.04     623.50    3.171e-04    8.980e-06     55.98     0.10
   13  16.05     623.02    3.168e-04    9.004e-06     55.94     0.10
   13  16.06     622.54    3.257e-04    8.995e-06     56.01     0.10
   13  16.08     622.06    3.346e-04    7.189e-06     56.07     0.08
   13  16.09     621.58    3.310e-04    8.890e-06     55.99     0.09
   13  16.13     620.15    3.363e-04    8.957e-06     55.94     0.09
   13  16.14     619.67    3.304e-04    8.439e-06     55.85     0.09
   13  16.15     619.20    3.236e-04    7.840e-06     55.74     0.08
   13  16.16     618.72    3.408e-04    1.154e-05     55.89     0.12
   13  16.17     618.25    3.472e-04    7.685e-06     55.92     0.08
   13  16.19     617.77    3.421e-04    7.614e-06     55.83     0.08
   13  16.20     617.29    3.506e-04    7.223e-06     55.88     0.07
   13  16.21     616.82    3.512e-04    8.204e-06     55.85     0.08
   13  16.22     616.34    3.585e-04    8.500e-06     55.89     0.08
   13  16.24     615.87    3.494e-04    8.146e-06     55.76     0.08
   13  16.25     615.40    3.387e-04    1.260e-05     55.62     0.13
   13  16.26     614.92    3.561e-04    8.533e-06     55.76     0.08
   13  16.27     614.45    3.592e-04    7.943e-06     55.76     0.08
   13  16.30     613.51    3.490e-04    1.042e-05     55.59     0.10
   13  16.31     613.03    3.564e-04    1.139e-05     55.63     0.11
   13  16.32     612.57    3.615e-04    9.028e-06     55.64     0.09
   13  16.34     612.09    3.840e-04    1.782e-05     55.82     0.16
   13  16.35     611.62    4.153e-04    8.221e-06     56.06     0.07
   13  16.36     611.15    4.018e-04    1.390e-05     55.91     0.12
   13  16.38     610.68    3.633e-04    1.062e-05     55.52     0.10
   13  16.39     610.21    3.610e-04    9.809e-06     55.46     0.10
   13  16.40     609.74    3.563e-04    1.091e-05     55.38     0.11
   13  16.41     609.27    3.572e-04    9.118e-06     55.36     0.09
   13  16.43     608.81    3.616e-04    8.176e-06     55.37     0.08

 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   14  14.24     702.45    7.361e-04    1.175e-04     65.04     0.67
   14  14.25     701.91    1.773e-04    1.013e-05     59.54     0.20
   14  14.26     701.37    7.357e-04    6.438e-05     64.96     0.37
   14  14.27     700.83    1.385e-03    1.227e-04     67.67     0.40
   14  14.28     700.29    7.964e-04    9.347e-05     65.21     0.50
   14  14.29     699.76    2.081e-04    1.932e-05     59.96     0.33
   14  14.30     699.22    5.654e-04    4.874e-05     63.71     0.35
   14  14.31     698.68    1.630e-03    1.415e-04     68.25     0.40
   14  14.32     698.14    1.485e-03    1.602e-04     67.78     0.50
   14  14.33     697.60    3.106e-04    3.951e-05     61.27     0.48
   14  14.37     696.00    1.036e-03    1.174e-04     66.01     0.49
   14  14.38     695.46    3.503e-04    3.969e-05     61.57     0.43
   14  14.39     694.93    1.703e-04    1.493e-05     58.92     0.30
   14  14.40     694.39    6.000e-04    9.757e-05     63.60     0.66
   14  14.41     693.86    1.591e-03    1.841e-04     67.76     0.53
   14  14.42     693.33    7.840e-04    7.727e-05     64.62     0.41
   14  14.43     692.79    1.375e-04    1.040e-05     58.03     0.26
   14  14.45     692.26    1.936e-04    3.145e-05     59.18     0.58
   14  14.46     691.73    6.293e-04    6.001e-05     63.59     0.39
   14  14.47     691.20    6.002e-04    5.229e-05     63.36     0.35
   14  14.52     688.54    4.270e-04    5.194e-05     61.82     0.47
   14  14.53     688.01    1.111e-04    8.706e-06     57.00     0.26
   14  14.58     685.90    1.150e-04    7.464e-06     56.96     0.21
   14  14.61     684.32    5.892e-04    6.364e-05     62.78     0.43
   14  14.65     682.74    1.220e-04    6.615e-06     56.94     0.18
   14  14.66     682.22    2.295e-04    1.857e-05     59.07     0.29
   14  14.67     681.69    1.877e-04    1.237e-05     58.33     0.23
   14  14.68     681.17    1.312e-04    4.854e-06     57.07     0.12
   14  14.70     680.12    2.635e-04    1.918e-05     59.41     0.26
   14  14.71     679.60    3.041e-04    2.549e-05     59.90     0.31
   14  14.73     679.08    1.683e-04    1.496e-05     57.77     0.30
   14  14.74     678.55    1.197e-04    2.712e-06     56.59     0.07
   14  14.75     678.03    1.376e-04    4.378e-06     57.01     0.11
   14  14.76     677.51    1.640e-04    8.000e-06     57.57     0.17
   14  14.77     676.99    1.379e-04    5.644e-06     56.95     0.14
   14  14.78     676.47    1.182e-04    3.327e-06     56.41     0.09
   14  14.79     675.95    1.200e-04    2.995e-06     56.42     0.08
   14  14.81     675.43    1.678e-04    8.642e-06     57.50     0.18
   14  14.82     674.91    1.907e-04    1.153e-05     57.90     0.21
   14  14.83     674.39    1.413e-04    8.081e-06     56.85     0.19
   14  14.84     673.87    1.241e-04    3.793e-06     56.38     0.10
   14  14.85     673.35    1.244e-04    4.147e-06     56.36     0.11
   14  14.86     672.83    1.354e-04    4.351e-06     56.60     0.11
   14  14.87     672.32    1.235e-04    7.408e-06     56.26     0.20
   14  14.89     671.80    1.175e-04    8.449e-06     56.06     0.23
   14  14.90     671.28    1.235e-04    5.593e-06     56.19     0.15
   14  14.91     670.77    1.342e-04    4.831e-06     56.43     0.12
   14  14.92     670.25    1.466e-04    5.101e-06     56.69     0.12
   14  14.93     669.74    1.334e-04    4.976e-06     56.34     0.12
   14  14.94     669.22    1.250e-04    4.382e-06     56.09     0.11
   14  14.95     668.71    1.352e-04    3.801e-06     56.31     0.09
   14  14.97     668.20    1.752e-04    6.495e-06     57.14     0.13
   14  14.98     667.68    2.317e-04    4.912e-06     58.07     0.07
   14  14.99     667.16    1.816e-04    6.592e-06     57.19     0.12
   14  15.00     666.65    1.332e-04    5.700e-06     56.12     0.14
   14  15.02     665.63    1.325e-04    4.029e-06     56.03     0.10
   14  15.03     665.11    1.307e-04    4.461e-06     55.95     0.11
   14  15.05     664.61    1.354e-04    5.076e-06     56.03     0.12
   14  15.06     664.09    1.377e-04    4.737e-06     56.05     0.11
   14  15.07     663.58    1.369e-04    7.611e-06     56.00     0.18
   14  15.10     662.05    1.409e-04    5.879e-06     55.98     0.14
   14  15.12     661.54    1.461e-04    4.228e-06     56.07     0.10
   14  15.13     661.03    1.509e-04    3.969e-06     56.14     0.09
   14  15.14     660.53    1.302e-04    6.776e-06     55.62     0.17
   14  15.15     660.02    1.430e-04    1.137e-05     55.89     0.26
   14  15.16     659.51    1.526e-04    7.239e-06     56.07     0.16
   14  15.17     659.01    1.472e-04    3.696e-06     55.92     0.08
   14  15.19     658.50    1.385e-04    6.641e-06     55.68     0.16
   14  15.20     657.99    1.450e-04    9.602e-06     55.79     0.22
   14  15.21     657.48    1.490e-04    6.512e-06     55.85     0.14
   14  15.22     656.98    1.511e-04    6.678e-06     55.86     0.15
   14  15.23     656.47    1.438e-04    4.117e-06     55.66     0.09
   14  15.24     655.97    1.474e-04    4.452e-06     55.71     0.10
   14  15.26     655.47    1.444e-04    4.819e-06     55.60     0.11
   14  15.27     654.96    1.484e-04    5.198e-06     55.66     0.12
   14  15.28     654.46    1.563e-04    8.324e-06     55.79     0.18

 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   15  13.15     760.37    2.845e-04    3.605e-05     65.40     0.50
   15  13.16     759.79    7.005e-04    6.187e-05     69.08     0.39
   15  13.17     759.20    6.016e-04    5.848e-05     68.38     0.42
   15  13.18     758.62    1.489e-04    1.990e-05     62.84     0.49
   15  13.19     758.03    3.815e-04    6.528e-05     66.40     0.70
   15  13.20     757.45    1.215e-03    9.311e-05     71.40     0.36
   15  13.21     756.87    9.268e-04    7.915e-05     70.11     0.39
   15  13.22     756.29    2.008e-04    1.508e-05     63.78     0.28
   15  13.23     755.71    3.376e-04    3.100e-05     65.74     0.37
   15  13.24     755.13    1.046e-03    8.548e-05     70.52     0.37
   15  13.26     753.97    2.540e-04    3.410e-05     64.51     0.52
   15  13.27     753.39    5.132e-04    3.154e-05     67.28     0.26
   15  13.28     752.81    1.741e-03    1.171e-04     72.76     0.33
   15  13.29     752.22    1.293e-03    8.813e-05     71.29     0.32
   15  13.30     751.65    4.134e-04    4.537e-05     66.27     0.45
   15  13.31     751.07    4.958e-04    3.529e-05     66.97     0.30
   15  13.32     750.49    1.330e-03    1.404e-04     71.29     0.50
   15  13.33     749.92    1.084e-03    1.074e-04     70.30     0.46
   15  13.35     749.34    4.085e-04    3.110e-05     66.05     0.31
   15  13.36     748.76    6.473e-04    3.587e-05     67.93     0.24
   15  13.37     748.19    1.652e-03    1.354e-04     72.15     0.40
   15  13.38     747.61    1.555e-03    1.537e-04     71.81     0.47
   15  13.39     747.04    4.432e-04    4.661e-05     66.22     0.43
   15  13.40     746.46    4.843e-04    3.384e-05     66.54     0.29
   15  13.43     744.74    3.651e-04    4.546e-05     65.27     0.50
   15  13.44     744.17    5.258e-04    4.193e-05     66.71     0.33
   15  13.45     743.60    1.364e-03    7.954e-05     70.88     0.27
   15  13.46     743.03    1.790e-03    1.433e-04     72.14     0.39
   15  13.47     742.45    4.768e-04    4.151e-05     66.19     0.36
   15  13.48     741.88    4.306e-04    3.245e-05     65.73     0.31
   15  13.49     741.31    9.441e-04    5.867e-05     69.02     0.28
   15  13.50     740.74    1.513e-03    1.096e-04     71.15     0.34
   15  13.51     740.17    5.064e-04    3.687e-05     66.27     0.30
   15  13.52     739.60    4.875e-04    4.066e-05     66.07     0.34
   15  13.53     739.03    1.311e-03    7.525e-05     70.35     0.27
   15  13.54     738.47    2.493e-03    1.220e-04     73.43     0.25
   15  13.55     737.90    8.640e-04    7.158e-05     68.38     0.37
   15  13.56     737.33    4.923e-04    3.299e-05     65.94     0.28
   15  13.57     736.76    9.796e-04    6.158e-05     68.85     0.28
   15  13.58     736.20    1.974e-03    1.532e-04     72.09     0.38
   15  13.59     735.63    9.675e-04    7.126e-05     68.71     0.33
   15  13.60     735.07    4.980e-04    3.911e-05     65.83     0.32
   15  13.61     734.50    8.958e-04    5.799e-05     68.28     0.29
   15  13.63     733.93    2.248e-03    1.802e-04     72.55     0.40
   15  13.64     733.37    1.072e-03    9.189e-05     69.00     0.39
   15  13.65     732.81    4.546e-04    3.184e-05     65.29     0.28
   15  13.74     727.75    1.063e-03    1.974e-04     68.53     0.84
   15  13.75     727.19    2.017e-04    1.694e-05     61.77     0.31
   15  13.76     726.63    1.204e-04    5.981e-06     59.91     0.17
   15  13.77     726.07    1.197e-04    6.744e-06     59.85     0.19
   15  13.78     725.52    1.450e-04    8.046e-06     60.48     0.19
   15  13.79     724.96    5.570e-04    3.948e-05     65.55     0.29
   15  13.80     724.40    9.394e-04    8.511e-05     67.73     0.40
   [Break for saturated feature]
   15  13.89     719.96    1.544e-03    1.342e-04     69.65     0.41
   15  13.90     719.40    1.181e-03    1.074e-04     68.37     0.41
   15  13.91     718.85    4.169e-04    4.022e-05     63.93     0.38
   15  13.92     718.30    3.882e-04    2.430e-05     63.61     0.25
   15  13.93     717.75    1.907e-03    1.175e-04     70.48     0.30
   15  13.94     717.20    1.957e-03    9.470e-05     70.56     0.23
   15  13.95     716.64    7.509e-04    1.078e-04     66.18     0.61
   15  13.96     716.09    3.132e-04    2.059e-05     62.63     0.25
   15  13.98     715.54    8.946e-04    6.508e-05     66.85     0.32
   15  13.99     714.99    1.592e-03    1.493e-04     69.41     0.44
   15  14.00     714.44    7.462e-04    7.816e-05     65.99     0.45
   15  14.01     713.89    2.895e-04    1.811e-05     62.17     0.24
   15  14.02     713.34    6.852e-04    3.749e-05     65.55     0.23
   15  14.03     712.79    2.250e-03    1.394e-04     70.89     0.30
   15  14.04     712.25    1.305e-03    9.400e-05     68.28     0.33
   15  14.05     711.70    3.384e-04    3.875e-05     62.61     0.44
   15  14.06     711.15    3.068e-04    2.444e-05     62.19     0.30
   15  14.09     709.51    4.155e-04    3.864e-05     63.24     0.37
   15  14.11     708.96    2.975e-04    3.037e-05     61.92     0.38
   15  14.12     708.42    1.207e-03    7.983e-05     67.63     0.30
   15  14.13     707.87    2.454e-03    1.748e-04     70.93     0.35
   15  14.14     707.33    8.673e-04    6.640e-05     66.10     0.33
   15  14.15     706.79    2.234e-04    1.490e-05     60.71     0.24
   15  14.16     706.24    5.795e-04    7.646e-05     64.33     0.54
   15  14.17     705.70    1.646e-03    1.580e-04     68.84     0.45

 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   16  12.81     780.52    1.328e-04    1.793e-05     63.92     0.49
   16  12.82     779.92    4.323e-05    7.455e-06     60.05     0.56
   16  12.83     779.32    4.018e-05    6.000e-06     59.77     0.48
   16  12.84     778.72    8.667e-05    8.950e-06     62.29     0.36
   16  12.85     778.12    9.650e-05    9.673e-06     62.62     0.35
   16  12.86     777.53    4.387e-05    8.889e-06     59.94     0.66
   16  12.87     776.93    9.870e-05    1.348e-05     62.62     0.48
   16  12.88     776.33    2.821e-04    3.437e-05     66.49     0.48
   16  12.89     775.73    2.509e-04    2.826e-05     65.99     0.44
   16  12.90     775.13    7.308e-05    6.706e-06     61.46     0.31
   16  12.91     774.54    9.435e-05    8.309e-06     62.30     0.31
   16  12.92     773.95    2.145e-04    2.741e-05     65.26     0.49
   16  12.93     773.35    1.532e-04    1.862e-05     63.96     0.45
   16  12.94     772.76    6.220e-05    9.824e-06     60.77     0.53
   16  12.95     772.16    2.235e-04    3.108e-05     65.29     0.54
   16  12.96     771.56    6.088e-04    8.286e-05     69.33     0.59
   16  12.97     770.97    4.020e-04    4.718e-05     67.54     0.48
   16  12.98     770.38    9.333e-05    7.847e-06     61.99     0.29
   16  12.99     769.79    1.796e-04    2.087e-05     64.30     0.44
   16  13.00     769.20    4.333e-04    5.749e-05     67.72     0.55
   16  13.01     768.60    2.745e-04    3.025e-05     65.84     0.43
   16  13.02     768.01    1.107e-04    9.323e-06     62.42     0.30
   16  13.03     767.42    3.774e-04    5.143e-05     67.03     0.56
   16  13.04     766.83    9.996e-04    1.343e-04     71.20     0.62
   16  13.05     766.24    5.624e-04    6.260e-05     68.61     0.48
   16  13.06     765.66    1.284e-04    1.603e-05     62.79     0.45
   16  13.07     765.06    3.061e-04    3.744e-05     66.02     0.49
   16  13.08     764.48    7.082e-04    9.226e-05     69.47     0.57
   16  13.09     763.89    4.277e-04    4.309e-05     67.29     0.42
   16  13.10     763.30    1.593e-04    1.370e-05     63.41     0.32
   16  13.11     762.71    5.209e-04    1.014e-04     68.02     0.83
   16  13.12     762.12    1.200e-03    2.900e-04     71.69     1.15
   16  13.13     761.54    7.815e-04    6.460e-05     69.69     0.37
   16  13.14     760.95    1.810e-04    1.485e-05     63.72     0.30
   16  13.15     760.37    4.603e-04    4.453e-05     67.34     0.40
   16  13.18     758.62    2.260e-04    1.583e-05     64.39     0.27
   16  13.19     758.03    7.047e-04    6.203e-05     68.98     0.38
   16  13.20     757.45    1.475e-03    1.049e-04     72.31     0.34
   16  13.21     756.87    9.550e-04    9.146e-05     70.24     0.44
   16  13.22     756.29    2.665e-04    2.046e-05     64.86     0.30
   16  13.23     755.71    5.855e-04    4.496e-05     68.01     0.33
   16  13.24     755.13    1.188e-03    9.977e-05     71.11     0.39

 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   17  11.87     842.28    4.980e-05    3.296e-06     64.54     0.23
   17  11.88     841.64    5.934e-05    3.168e-06     65.10     0.19
   17  11.89     840.99    6.906e-05    5.326e-06     65.60     0.27
   17  11.90     840.34    6.776e-05    3.482e-06     65.49     0.18
   17  11.91     839.69    6.118e-05    3.807e-06     65.09     0.22
   17  11.94     837.76    7.658e-05    4.742e-06     65.75     0.22
   17  11.95     837.11    6.019e-05    3.419e-06     64.86     0.20
   17  11.96     836.47    6.368e-05    3.882e-06     65.02     0.21
   17  11.96     835.83    9.698e-05    1.258e-05     66.49     0.48
   17  11.97     835.18    9.317e-05    7.057e-06     66.30     0.28
   17  11.98     834.54    4.646e-05    4.647e-06     63.80     0.34
   17  11.99     833.90    5.732e-05    4.521e-06     64.48     0.27
   17  12.00     833.26    9.770e-05    1.033e-05     66.34     0.39
   17  12.01     832.62    1.129e-04    9.009e-06     66.83     0.30
   17  12.02     831.98    6.358e-05    8.381e-06     64.72     0.46
   17  12.03     831.34    6.008e-05    4.491e-06     64.48     0.26
